,Abs Bias (% of True ATE) (DGP Complex),% Variance Reduction (DGP Complex),Abs Bias (% of True ATE) (DGP Simple),% Variance Reduction (DGP Simple)
Bivariate OLS,0.47,0.0,0.7,0.0
Multivariate OLS,0.48,-2.96,0.54,26.75
Interaction OLS,0.57,2.26,0.55,24.97
S-Learner,2.04,81.17,2.47,91.19
T-Learner,0.93,78.84,0.61,92.26
X-Learner,1.01,78.87,0.54,92.5
R-Learner,1.74,52.51,1.43,82.81
I-Learner,0.13,51.29,0.05,85.71
DR-Learner,0.11,78.83,0.25,91.71
